genero,title,specs,price,id,developer,anio,playtime_forever
Strategy,Shadows of War,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",2.99,340220,TRI.G,2014,9471
Strategy,Fake Colours,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",2.99,334300,"Forthright Casual Games,Beyond-Limits-Games",2015,13944
Simulation,WolfWars,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards']",4.99,340570,Peter Hrdy,2015,1394
Action,Dr.Green,"['Single-player', 'Full controller support']",2.99,340290,Johan Aronsson,2015,23
Action,Vintage Year,"['Single-player', 'Full controller support', 'Steam Trading Cards']",2.99,333760,Nooner Bear Studio,2015,6194
Simulation,The Race for the White House,"['Single-player', 'Multi-player']",14.99,338590,Eversim,2015,85
Action,Castle,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",4.99,339290,Snails Animation,2015,17344
Adventure,Ostrich Island,"['Single-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']",4.99,337270,MeDungeon Ltd.,2015,6276
Adventure,Adventures of Robinson Crusoe,['Single-player'],9.99,334470,MagicIndie,2015,0
Action,Mechs &amp; Mercs: Black Talons,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",9.99,273960,Camel 101,2015,2130
Strategy,Urja,"['Single-player', 'Steam Trading Cards']",9.99,338710,Breaking Fourth,2015,9360
Adventure,Teddy Floppy Ear - Mountain Adventure,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']",4.99,340300,Forever Entertainment S. A.,2015,19640
Adventure,Countless Rooms of Death,"['Single-player', 'Steam Trading Cards']",0.99,341380,HCP Games,2014,1506
Action,Squirreltopia,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",2.99,334690,Sean Davy,2015,12513
Action,Disorder,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",3.99,322080,Swagabyte Games,2015,3032
Action,FreakOut: Extreme Freeride,"['Single-player', 'Multi-player', 'Partial Controller Support']",9.99,304540,Coldwood Interactive,2007,29
Adventure,Avernum 2: Crystal Souls,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats']",19.99,337850,Spiderweb Software,2015,19359
Action,Gunslugs 2,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']",4.99,340750,Orangepixel,2015,1222
Adventure,Tengami,"['Single-player', 'Steam Achievements', 'Steam Cloud']",4.99,299680,Nyamyam,2015,1263
Action,TRISTOY,"['Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats']",6.99,303260,Uniworlds Game Studios,2015,11032
Adventure,Witch's Pranks: Frog's Fortune Collector's Edition,['Single-player'],6.99,342630,Shaman Games Studio,2014,311
Simulation,HuniePop,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",9.99,339800,HuniePot,2015,1030291
Simulation,Cat Goes Fishing,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",6.99,343780,Cat5Games,2015,28972
Action,Resident Evil / biohazard HD REMASTER,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",19.99,304240,"CAPCOM Co., Ltd.",2015,124681
Action,Bit Odyssey,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']",4.99,328740,Gamesare,2014,1031
Adventure,Deity Quest,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,340330,Fancy Fish Games,2015,5501
Action,PARTICLE MACE,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",0.98,295690,Andy Wallace,2015,42047
Action,TorqueL,"['Single-player', 'Steam Achievements', 'Full controller support']",9.99,250070,"Nanmo (Takayuki Yanagihara) @ FullPowerSideAttack.com,sanodg (Nobuyoshi Sano)",2015,75
Adventure,Stranded Deep,"['Single-player', 'Steam Achievements']",14.99,313120,Beam Team Games,2015,1007985
Simulation,Guild Commander,"['Single-player', 'Steam Achievements']",4.99,337220,GTGD,2015,2971
Strategy,Grey Goo,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes level editor']",29.99,290790,Petroglyph,2015,266574
Action,Venetica - Gold Edition,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",9.99,338140,Deck13,2009,7952
Simulation,Bridge Creator 2015,['Single-player'],2.99,345790,MKLab,2015,20
Adventure,Ghost Pirates of Vooju Island,['Single-player'],9.99,344030,Autumn Moon,2015,207
Adventure,The Quivering,['Single-player'],3.99,345290,Charybdis Ltd,2015,1
Adventure,Tulpa,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",9.99,331340,Encryptique,2015,7233
Action,The Lady,"['Single-player', 'Steam Trading Cards']",0.99,341060,"Mikeypoo's Games,Roger Levy",2015,4316
Action,Pix the Cat,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,330180,Pastagames,2015,15033
Action,10 Years After,"['Single-player', 'Partial Controller Support']",5.99,339240,Rock Paper Games,2015,107
Action,Overture,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available']",4.99,343100,Black Shell Games,2015,40411
Strategy,Ancient Planet Tower Defense,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",4.99,345090,Moonlight Mouse,2015,9908
Action,Apotheon,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",14.99,208750,Alientrap,2015,79031
Adventure,Terra Incognita ~ Chapter One: The Descendant,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",0.99,347560,Back To Basics Gaming,2015,50631
Adventure,Astray,"['Single-player', 'Full controller support']",6.99,329200,Aegon Games,2015,910
Action,TOTM,"['Multi-player', 'Full controller support']",7.99,324360,Juniper Games,2015,0
Action,Moorhuhn (Crazy Chicken),"['Single-player', 'Steam Cloud', 'Stats']",1.99,340120,Doyodo,2015,50
Action,Destination Sol,"['Single-player', 'Partial Controller Support', 'Steam Cloud']",Free to Play,342980,MovingBlocks,2015,40031
Action,Fractured Soul,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",9.99,307030,Endgame Studios,2015,353
Action,Forsaken Isle,['Single-player'],7.99,347940,Smoodlez,2015,6031
Simulation,Bloop Reloaded,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Includes level editor']",9.99,315060,2SD,2015,7771
Adventure,SUNLESS SEA,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",18.99,304650,Failbetter Games,2015,477198
Adventure,Crystal Story II,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",2.99,344860,Emmanuel Salva Cruz,2015,36255
Action,The Asskickers-Steam Edition,"['Single-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",9.99,348650,AGO Games,2015,3419
Action,Universal Combat CE,"['Single-player', 'Partial Controller Support']",9.99,345580,3000AD,2015,3014
Adventure,Pixel Heroes: Byte &amp; Magic,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,338320,The Bitfather,2015,26414
Action,Wickland,"['Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Valve Anti-Cheat enabled', 'Stats']",0.99,321260,Mad Ram Software,2014,35026
Action,Plazma Being,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",4.99,346630,Felix Wunderlich,2015,4027
Action,Samudai,"['Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Stats']",2.99,342740,Geek Sloth Games,2015,3813
Action,Lex Mortis,"['Single-player', 'Steam Trading Cards']",4.99,348450,Dennis Esie,2015,39
Strategy,Dark Forester,"['Single-player', 'Multi-player', 'MMO', 'Cross-Platform Multiplayer', 'Stats']",8.99,349450,Morozov Sergey,2015,114
Action,Spirit Run - Fire vs. Ice,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",2.99,311490,Lunagames,2015,4
Action,Damned Nation Reborn,"['Single-player', 'Multi-player', 'Steam Achievements']",12.99,345710,Sinister,2015,448
Action,Barbarian Brawl,"['Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",4.99,332730,Thrillion,2015,197
Strategy,Cults and Daggers,"['Single-player', 'Multi-player']",29.99,333350,Chaphat,2015,431
Action,Hyphen,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards']",3.99,346510,FarSpace Studios,2015,1779
Action,Evolution II: Fighting for Survival,['Single-player'],1.99,347580,LiveItGames LLC,2015,20
Action,Janky Tanks,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Full controller support']",4.99,344220,Hyper Hippo Games,2015,0
Action,On A Roll 3D,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",3.99,341090,Battenberg Software,2015,17555
Adventure,Morningstar: Descent to Deadrock,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",9.99,339130,Red Herring Labs,2015,7330
Action,Hand of Fate,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",19.99,266510,Defiant Development,2015,261261
Action,Paparazzi,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support']",1.99,341360,Pringo Dingo Games,2015,199
Action,Chainsaw Warrior: Lords of the Night,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",5.99,307600,Auroch Digital,2015,8962
Simulation,Pixel Puzzles 2: Birds,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,344230,DL Softworks,2015,13046
Action,Hot Tin Roof: The Cat That Wore A Fedora,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats']",14.99,253390,Glass Bottom Games,2015,2843
Action,Boring Man - Online Tactical Stickman Combat,"['Multi-player', 'Co-op', 'Steam Achievements', 'Includes level editor']",Free to Play,346120,Spasman Games,2014,281697
Adventure,Hero of the Kingdom II,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",7.99,346560,Lonely Troops,2015,20755
Action,Catacomb Kids,"['Single-player', 'Local Multi-Player', 'Local Co-op', 'Shared/Split Screen', 'Full controller support']",15.99,315840,FourbitFriday,2015,29517
Action,Moorhuhn Invasion (Crazy Chicken Invasion),"['Single-player', 'Steam Cloud', 'Stats']",3.99,340130,Doyodo,2015,4
Adventure,Odysseus: Long Way Home,"['Single-player', 'Steam Trading Cards']",3.99,348960,Rainbow Games,2015,7863
Adventure,Night Shift,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",4.99,301050,Brandon Brizzi,2015,4963
Adventure,Trash TV,"['Single-player', 'Full controller support']",6.99,343840,Lawrence Russell,2015,38
Adventure,Oscura: Lost Light,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",6.99,320520,Chocolate Liberation Front,2015,6903
Action,Resident Evil Revelations 2 / Biohazard Revelations 2,"['Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",5.99,287290,"CAPCOM Co., Ltd.",2015,269317
Simulation,TownCraft,['Single-player'],9.99,296280,"Flat Earth Games,Epiphany Games",2015,13349
Action,Airships: Conquer the Skies,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop']",14.99,342560,David Stark,2015,25547
Action,Over 9000 Zombies!,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor']",1.99,273500,Loren Lemcke,2015,16664
Adventure,The Great Fusion,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",2.99,341690,Loading Home,2015,1021
Action,Isbarah,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",13.99,333510,Leikir Studio,2015,557
Action,Oddworld: New 'n' Tasty,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",19.99,314660,"Just Add Water (Developments), Ltd.",2015,106164
Simulation,Homeworld Remastered Collection,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",34.99,244160,"Gearbox Software,Aspyr (Mac)",2015,624957
Adventure,Night Mysteries: The Amphora Prisoner,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']",2.99,348870,Anvate Games,2015,3164
Adventure,Time Mysteries: Inheritance - Remastered,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,350010,Artifex Mundi,2014,17924
Action,NeXus: One Core,"['Single-player', 'Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Leaderboards']",4.99,341080,Hyde Games,2015,0
Simulation,MOAI: Build Your Dream,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",6.99,338980,"Alawar Entertainment,Toyman Interactive",2013,2531
Action,DRAGON BALL XENOVERSE,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",39.99,323470,DIMPS,2015,2479763
Action,DYNASTY WARRIORS® 8 Empires,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",49.99,322520,"KOEI TECMO GAMES CO., LTD.",2015,109251
Action,Shiftlings,"['Single-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",14.99,310810,Rock Pocket Games,2015,4724
Adventure,White Night,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",14.99,301560,OSome Studio,2015,657
Action,Tallowmere,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",3.99,340520,Chris McFarland,2015,10339
Adventure,Mighty Dungeons,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",0.99,349550,"Yohan Launay,Frederic Gaillard",2015,4114
Action,HIS (Heroes In the Sky),"['Single-player', 'Multi-player', 'Co-op', 'Partial Controller Support']",139.92,342570,GameUS Inc.,2015,18486
Simulation,Marble Age,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",5.99,346810,Clarus Victoria,2015,19303
Action,Pixel: ru²,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor']",9.99,351170,C63 Industries,2015,732
Action,ARMED SEVEN,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",4.99,349690,ASTRO PORT,2015,9249
Adventure,Shelter 2,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",14.99,275100,Might and Delight,2015,28979
Adventure,Frankenstein: Master of Death,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",4.99,347430,"Jetdogs Studios,Fineway Studios",2015,34680
Adventure,The Albino Hunter,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",4.99,355520,Cherry Co. Studios,2015,32849
Adventure,Starship Traveller,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",4.99,348180,Tin Man Games,2015,3911
Adventure,Drizzlepath,"['Single-player', 'Full controller support', 'Steam Trading Cards']",2.99,355760,Tonguç Bodur,2015,3553
Simulation,Automation - The Car Company Tycoon Game,['Single-player'],29.99,293760,Camshaft Software,2015,223966
Strategy,Sid Meier's Starships,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']",14.99,282210,Firaxis Games,2015,56698
Strategy,Spirit of War,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",9.99,352190,G-OLD,2015,8223
Adventure,Bermuda,"['Single-player', 'Steam Trading Cards']",2.99,337630,InvertMouse,2015,19932
Action,Oceanhorn: Monster of Uncharted Seas,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",14.99,339200,Cornfox &amp; Bros.,2015,37495
Action,Battletank LOBA,"['Single-player', 'Shared/Split Screen', 'Steam Trading Cards', 'Partial Controller Support']",9.99,337730,Five Archers Games,2015,900
Action,Woolfe - The Red Hood Diaries,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",9.99,281940,GRIN,2015,6333
Strategy,Enemy,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Includes level editor']",14.99,339570,Tom Johnson,2015,4100
Adventure,Spellbind,['Single-player'],9.99,353600,Point2Point Entertainment,2015,3518
Action,Modular Combat,"['Multi-player', 'Co-op', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Stats']",0,349480,Ascension Entertainment LLC,2008,111432
Action,Trapped Dead: Lockdown,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",9.99,305500,Bigmoon Studios,2015,1624
Action,Incognito,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Includes level editor']",7.99,348530,"Maxwolf,Fox",2009,7628
Simulation,World of Subways 4 – New York Line 7,"['Single-player', 'Steam Achievements', 'Steam Cloud']",19.99,343070,TML-Studios,2015,3123
Strategy,12 Labours of Hercules,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",2.99,342580,"Jetdogs Studios,Zoom Out Games",2015,65814
Action,Walkover,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Stats', 'Includes level editor']",Free to Play,348700,Millenium Project Enterprises,2001,4965
Action,Exowar,"['Single-player', 'Includes level editor']",6.99,358610,Aleksander Ciesielski,2015,63
Action,Dungeon Highway,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards']",3.99,353340,Substantial,2015,2
Simulation,3d Bridges,['Single-player'],9.99,358700,Robert Dahlenburg,2015,347
Simulation,Hospital Manager,['Single-player'],4.99,348290,CCCP,2014,180
Strategy,Etherium,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,245370,Tindalos Interactive,2015,18207
Simulation,The Corporate Machine,"['Single-player', 'Multi-player']",9.99,351080,Stardock Entertainment,2001,2017
Racing,Aquadelic GT,"['Single-player', 'Partial Controller Support']",4.99,321450,"Hammerware, s.r.o.",2015,3
Action,Red Lake,"['Single-player', 'Steam Trading Cards']",0.99,357290,Talentplace,2015,11
Strategy,Band of Drones,"['Single-player', 'Shared/Split Screen', 'Steam Cloud']",7.99,356710,Kiritsu Games,2015,3
Adventure,FLAMBERGE,['Single-player'],9.99,355420,Hydezeke,2015,42
Simulation,1931: Scheherazade at the Library of Pergamum,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",24.99,334850,"Black Chicken Studios, inc.",2015,19593
Strategy,Ironcast,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",14.99,327670,Dreadbit,2015,27916
Action,Spirits of Xanadu,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available']",9.99,312230,"Good Morning, Commander",2015,5932
Strategy,Claws &amp; Feathers,"['Single-player', 'Steam Trading Cards']",6.99,354310,Alawar Entertainment,2014,1391
Adventure,Grim Legends 2: Song of the Dark Swan,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,279800,Artifex Mundi,2014,14346
Simulation,Arms Dealer,['Single-player'],5.99,325630,"Case in Point Studios, LLC",2015,3815
Action,Venusian Vengeance,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",3.99,351240,Renegade Sector Games,2012,4944
Adventure,The Moment of Silence,"['Single-player', 'Steam Cloud']",14.99,339840,House of Tales,2005,69
Adventure,An Octave Higher,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",11.99,352780,Kidalang,2015,33996
Action,Pixel Puzzles 2: Anime,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",9.99,350810,DL Softworks,2015,24257
Racing,RIDE,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",39.99,345660,Milestone S.r.l.,2015,90586
Action,//SNOWFLAKE TATTOO//,"['Single-player', 'Steam Trading Cards']",4.99,355430,Rail Slave Games,2015,6537
Strategy,Age of Fear 2: The Chaos Lord GOLD,"['Single-player', 'Multi-player', 'Local Multi-Player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",19.99,341150,Leslaw Sliwko,2015,7066
Strategy,Star Ruler 2,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",24.99,282590,"Blind Mind Studios,Glacicle",2015,75905
Action,Keebles,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",9.99,347040,Burnt Fuse,2015,8607
Action,Jones On Fire,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",2.99,270810,Glass Bottom Games,2013,3330
Strategy,Unium,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",1.99,357600,Kittehface Software,2015,13711
Action,Half-Life 2: Update,"['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Commentary available']",0,290930,"Filip Victor,Valve",2015,247237
Adventure,Princess Evangile All Ages Version,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']",34.99,344630,MOONSTONE,2015,7139
Action,A Pixel Story,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats']",11.99,339460,Lamplight Studios,2015,594
Action,Attack of the Labyrinth +,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support']",Free to Play,357830,Timedrop Studios,2015,1712
Action,DEAD OR ALIVE 5 Last Round: Core Fighters,"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support']",Free to Play,311730,"Team NINJA,KOEI TECMO GAMES CO., LTD.",2015,158348
Simulation,The Spatials,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,346420,Weird and Wry,2015,11196
Action,Bloodsports.TV,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,336420,"Toadman Interactive,Fatshark",2015,21749
Strategy,KeeperRL,"['Single-player', 'Steam Cloud']",14.99,329970,Michal Brzozowski,2015,12443
Strategy,BattleLore: Command,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards']",6.99,348400,Fantasy Flight Games,2014,6556
Action,Paperbound,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Includes level editor']",9.99,339690,Dissident Logic,2015,6360
Action,The District,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",0.99,357770,DistrictTeam,2017,19856
Adventure,15 Days,"['Single-player', 'Steam Cloud']",9.99,342990,House of Tales,2010,781
Adventure,Hare In The Hat,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",1.99,359810,RunServer,2015,18455
Action,The Defenders: The Second Wave,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",2.99,351400,FallenMaster,2015,9149
Adventure,Make it indie!,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']",0.99,357900,Sometimes You,2015,24150
Adventure,Grass Simulator,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards']",4.99,331200,Daniel Davies,2015,11139
Simulation,1942: The Pacific Air War,['Single-player'],6.99,347230,"MicroProse Software, Inc",1994,94
Adventure,Challenge of the Five Realms: Spellbound in the World of Nhagardia,['Single-player'],6.99,347240,"MicroProse Software, Inc",1992,0
Simulation,F-19 Stealth Fighter,['Single-player'],6.99,347250,"MicroProse Software, Inc",1988,1
Action,Freestyle 2: Street Basketball,"['Online Multi-Player', 'MMO', 'Online Co-op', 'Steam Trading Cards', 'Partial Controller Support']",Free to Play,339610,Joycity,2015,1489634
Strategy,R.O.O.T.S,['Single-player'],2.99,357930,reMaginarium,2015,430
Simulation,Wildlife Park,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",6.99,311840,b-alive gmbh,2003,1073
Simulation,Wildlife Park - Wild Creatures,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",5.99,337970,b-alive gmbh,2015,346
Adventure,Hyperspeed,['Single-player'],6.99,347260,"MicroProse Software, Inc",1991,0
Action,DARK SOULS™ II: Scholar of the First Sin,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support']",39.99,335300,"FromSoftware, Inc",2015,5088944
Action,Knights of the Sky,['Single-player'],6.99,347270,"MicroProse Software, Inc",1990,5
Action,Gare Sapphire Mechs,['Single-player'],7.99,359090,Prexen Studios,2015,23
Adventure,Astronaut Simulator,"['Single-player', 'Full controller support']",1.99,356770,Astrosimer,2015,537
Adventure,Shutter,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",1.99,359560,Cosmic Logic,2015,6144
Strategy,War for the Overworld,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']",29.99,230190,Brightrock Games,2015,202568
Simulation,World of Cinema - Movie Tycoon,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Stats']",4.99,344160,Pepi Games,2015,1501
Action,Survarium,"['Multi-player', 'MMO', 'Steam Achievements', 'Steam Trading Cards']",Free to Play,355840,Vostok Games,2015,336230
